cuenta_id,fecha,transaccion,monto,descripcion
2041,2024-03-05,retiro,1232.1,Retiro en sucursal
2090,2024-09-30,retiro,1405.26,Retiro en sucursal
2144,2024-05-05,compra,2888.17,Compra en tienda
2137,2024-11-26,compra,1509.85,Compra online
2105,2024-08-06,retiro,-2885.11,
2056,2024-06-16,retiro,-1887.82,Retiro en sucursal
2148,2024-03-31,retiro,-1460.17,Retiro en sucursal
2104,2024-03-11,deposito,864.13,Deposito en sucursal
2149,2024-05-30,retiro,-90.56,Retiro cajero
2055,2024/09/16,deposito,99.62,Ingreso extra
2038,2024-10-07,deposito,2613.87,Transferencia recibida
2093,2024-08-28,deposito,1064.83,Ingreso extra
2078,2024/12/08,deposito,1664.27,Transferencia recibida
2029,2024-07-17,retiro,-1697.91,Retiro cajero
2055,2024-09-05,retiro,-265.99,Retiro en sucursal
2019,2024-09-14,deposito,2008.81,Transferencia recibida
2009,2024-05-28,deposito,2267.4,Deposito en sucursal
2044,2024-12-10,deposito,174.55,Ingreso extra
2118,2024/09/15,deposito,1099.65,Deposito en sucursal
2134,2024/03/28,retiro,-2507.48,Retiro en sucursal
2048,2024-11-19,deposito,-2301.29,Ingreso mensual
2002,2024/09/06,deposito,41.53,Transferencia recibida
2068,2024-07-25,retiro,-374.03,Retiro cajero
2075,2024-11-19,deposito,668.04,Ingreso mensual
2144,2024-01-16,deposito,1394.32,Ingreso extra
2049,2024-05-23,deposito,2557.48,Ingreso extra
2003,2024-06-20,deposito,2672.44,Ingreso mensual
2060,2024-03-26,deposito,1279.64,Ingreso extra
2135,2024-05-17,deposito,-1214.24,Deposito en sucursal
2060,2024-07-10,compra,-2778.56,Pago de servicio
2086,2024/05/05,deposito,1716.17,Deposito en sucursal
2096,2024-04-08,compra,-609.67,Pago de servicio
2087,2024/05/17,deposito,-1718.97,
2103,2024-05-21,deposito,142.48,Transferencia recibida
2039,2024-10-23,compra,-2424.62,Compra online
2077,2024-12-24,retiro,-709.65,
2037,2024-03-01,retiro,-1237.69,Retiro en sucursal
2020,2024-05-26,deposito,784.21,Ingreso extra
2142,2024/11/18,compra,-2656.58,Pago de servicio
2033,2024-09-06,retiro,-1034.17,Retiro parcial
2011,2024-05-28,compra,-145.85,Pago de servicio
2113,2024-11-14,retiro,-253.77,Retiro en sucursal
2121,2024-03-27,deposito,2754.73,Ingreso mensual
2063,2024-07-03,compra,1147.74,Compra online
2000,2024-09-07,retiro,-2382.36,Retiro cajero
2140,2024-04-04,deposito,785.44,Ingreso mensual
2054,2024-10-27,compra,-2155.98,
2031,2024/03/10,deposito,-353.5,Deposito en sucursal
2094,2024/02/17,deposito,1323.51,
2149,2024-08-30,retiro,-2370.47,Retiro cajero
2020,2024-08-10,compra,-2583.35,Pago de servicio
2129,2024-05-20,compra,-2736.3,Pago de servicio
2085,2024-12-22,deposito,-1144.83,Ingreso extra
2131,2024-05-09,compra,-58.72,Pago de servicio
2030,2024-11-05,retiro,-2026.76,
2017,2024/09/16,compra,-804.91,Compra online
2149,2024-06-04,deposito,932.57,Transferencia recibida
2128,2024/07/11,retiro,-60.6,Retiro parcial
2091,2024-08-08,compra,-655.99,Compra en tienda
2048,2024-06-22,compra,-929.12,Compra online
2022,2024-06-07,retiro,-2107.84,Retiro en sucursal
2062,2024-04-05,compra,-2254.75,Compra en tienda
2088,2024-04-20,retiro,-1969.58,Retiro parcial
2136,2024-09-25,compra,-2917.83,Compra en tienda
2139,2024/02/18,deposito,451.04,Transferencia recibida
2072,2024-03-04,compra,-2190.42,Compra online
2071,2024-11-28,deposito,-1212.18,Transferencia recibida
2076,2024-12-16,retiro,-2041.36,Retiro en sucursal
2020,2024-01-31,retiro,-1105.54,Retiro parcial
2046,2024-08-07,retiro,-1865.31,Retiro en sucursal
2100,2024-10-22,retiro,-1480.51,Retiro en sucursal
2025,2024/08/28,deposito,983.27,Deposito en sucursal
2010,2024-11-05,deposito,187.02,Ingreso extra
2106,2024-01-13,deposito,-1342.57,Ingreso mensual
2067,2024-04-25,retiro,-176.65,Retiro parcial
2115,2024-04-01,compra,71.45,Compra en tienda
2049,2024-09-10,retiro,-1751.94,Retiro en sucursal
2057,2024/09/03,compra,-72.59,Compra online
2043,2024/08/15,compra,-2234.57,Pago de servicio
2139,2024-01-26,retiro,-2065.44,Retiro cajero
2073,2024-02-17,deposito,191.09,Ingreso extra
2141,2024-05-25,compra,-1482.46,Pago de servicio
2040,2024-07-27,deposito,195.56,
2091,2024-10-01,retiro,-498.85,Retiro cajero
2104,2024/03/04,compra,-931.35,Pago de servicio
2021,2024-02-02,deposito,1232.88,Ingreso mensual
2129,2024-04-06,deposito,299.67,
2032,2024-06-10,deposito,818.19,Ingreso extra
2148,2024-04-03,compra,-971.24,Compra online
2002,2024-09-11,compra,2017.03,Pago de servicio
2039,2024-09-29,retiro,-76.54,Retiro parcial
2133,2024-03-29,deposito,841.07,Ingreso extra
2042,2024-12-28,retiro,-752.87,Retiro cajero
2094,2024-02-10,retiro,-95.36,Retiro cajero
2059,2024-08-27,deposito,2170.59,Deposito en sucursal
2061,2024/02/15,compra,-1726.38,Compra en tienda
2017,2024-09-11,deposito,799.76,Ingreso mensual
2107,2024-12-02,retiro,-147.04,Retiro parcial
2052,2024-08-19,retiro,-927.84,Retiro en sucursal
2043,2024/07/04,retiro,-1488.66,Retiro en sucursal
2126,2024-07-22,compra,-1352.31,Compra en tienda
2065,2024-08-31,deposito,2018.39,Ingreso extra
2067,2024-10-24,compra,-181.29,Compra online
2006,2024-07-08,deposito,-2117.63,Ingreso mensual
2093,2024-12-03,deposito,2518.68,Ingreso extra
2079,2024-03-07,deposito,-2868.29,Deposito en sucursal
2140,2024-02-29,deposito,1721.27,Deposito en sucursal
2118,2024-02-29,deposito,1346.12,Ingreso extra
2078,2024-01-25,deposito,21.6,Transferencia recibida
2054,2024-11-12,deposito,1384.33,Deposito en sucursal
2105,2024/02/19,compra,-1336.87,Pago de servicio
2018,2024-02-03,compra,-361.12,Pago de servicio
2111,2024-07-07,compra,-1042.51,Compra en tienda
2101,2024/08/09,retiro,-168.62,Retiro parcial
2070,2024/03/23,deposito,785.15,Ingreso mensual
2057,2024-07-29,compra,-1804.63,Compra en tienda
2023,2024-11-04,deposito,1652.23,Ingreso mensual
2067,2024/11/29,retiro,-2183.35,Retiro en sucursal
2085,2024-12-05,retiro,-1440.94,
2123,2024-07-22,deposito,2325.57,Ingreso extra
2096,2024-10-25,deposito,1770.99,Deposito en sucursal
