id,fecha,monto,tipo
1,2024-01-01,706.29,credito
2,2024-01-01,706.29,credito
3,2024/01/20,3252.92,debito
4,2024-01-19,3796.45,debito
5,2024-01-09,1689.61,debito
6,2024-01-28,226.82,debito
7,2024-01-30,4148.73,debito
8,2024-01-19,-1987.18,credito
9,2024-01-28,3182.07,invalido
10,2024-01-07,3420.9,debito
11,2024-01-18,1903.48,credito
12,2024-01-18,3843.88,credito
13,2024-01-26,1062.8,credito
14,2024-01-11,4424.57,credito
15,2024-01-05,1321.08,debito
16,2024-01-13,700.28,credito
17,2024-01-28,3962.48,credito
18,2024-01-13,1264.56,debito
19,2024-01-24,3756.88,otro
20,2024-01-10,4769.54,debito
21,2024-01-17,540.99,debito
22,2024-01-17,3814.93,credito
23,2024-01-17,2448.14,credito
24,2024-01-27,1211.95,debito
25,2024-01-24,-2284.2,debito
26,2024-01-16,2643.09,debito
27,2024-01-25,1565.46,otro
28,2024-01-15,1247.05,credito
29,2024-01-18,364.26,debito
30,2024/01/29,2575.64,debito
31,2024-01-18,2859.51,credito
32,2024-01-26,-1980.36,credito
33,2024-01-28,4920.98,debito
34,2024-01-11,0,debito
35,2024-01-05,1256.53,credito
36,2024-01-28,-1959.91,debito
37,2024-01-03,839.89,debito
38,2024-01-13,20.76,debito
39,2024-01-26,4787.02,credito
40,2024-01-23,1096.33,credito
41,2024-01-02,-1756.69,credito
42,2024/01/06,4258.2,credito
43,2024-01-28,0,debito
44,2024/01/20,-1975.55,debito
45,2024-01-09,1201.04,debito
46,2024-01-23,1096.33,credito
47,2024-01-03,670.96,invalido
48,2024-01-08,4170.39,debito
49,2024-01-26,,credito
50,2024-01-22,1329.68,debito
51,2024-01-05,3590.88,credito
52,2024-01-09,4541.71,credito
53,2024-01-27,,credito
54,2024-01-09,3531.28,credito
55,2024-01-31,2732.5,debito
56,2024-01-05,-1100.31,credito
57,2024-01-29,3338.0,invalido
58,2024-01-28,781.22,credito
59,2024-01-26,133.68,credito
60,2024-01-30,3677.94,debito
61,2024-01-23,4294.38,debito
62,2024-01-15,4357.9,credito
63,2024-01-13,4834.78,credito
64,2024-01-29,3338.0,invalido
65,2024-01-19,550.93,invalido
66,2024-01-11,587.07,credito
67,2024-01-02,,debito
68,2024-01-24,993.21,credito
69,2024-01-20,3601.57,x
70,2024-01-14,2776.52,debito
71,2024-01-13,3081.42,credito
72,2024-01-01,3930.94,credito
73,2024-01-15,2371.2,debito
74,2024-01-06,3322.63,credito
75,2024-01-31,1130.96,debito
76,2024-01-08,3844.76,debito
77,2024-01-19,2476.94,credito
78,2024-01-01,4428.47,credito
79,2024-01-26,260.59,debito
80,2024-01-15,2660.35,credito
81,2024-01-25,3599.18,debito
82,2024-01-18,4308.86,credito
83,2024-01-27,2611.29,credito
84,2024-01-03,1685.88,debito
85,2024-01-05,3535.03,debito
86,2024-01-18,-2500.34,debito
87,2024-01-31,3830.32,credito
88,2024-01-12,4459.29,debito
89,2024-01-24,1110.49,credito
90,2024-01-01,3992.73,debito
91,2024-01-30,144.56,credito
92,2024/01/01,4335.59,credito
93,2024-01-11,3808.54,debito
94,2024-01-27,2356.83,credito
95,2024-01-31,3908.35,debito
96,2024-01-31,3110.46,credito
97,2024-01-04,3500.33,credito
98,2024-01-20,3891.18,debito
99,2024/01/19,3389.96,debito
100,2024-01-23,4154.55,debito
101,2024-01-10,614.06,credito
102,2024-01-12,354.09,credito
103,2024-01-14,0,debito
104,2024-01-27,888.92,credito
105,2024-01-20,2422.65,credito
106,2024-01-09,4673.76,credito
107,2024/01/06,4258.2,credito
108,2024-01-07,1405.5,debito
109,2024/01/18,437.21,credito
110,2024-01-25,3562.09,credito
111,2024-01-10,1537.97,debito
112,2024-01-17,2756.44,credito
113,2024-01-10,971.0,debito
114,2024-01-25,3695.64,credito
115,2024-01-25,511.63,credito
116,2024-01-06,641.65,debito
117,2024-01-10,4343.62,debito
118,2024-01-19,1710.12,credito
119,2024-01-28,2009.53,debito
120,2024-01-02,4746.14,credito
121,2024-01-18,3955.8,debito
122,2024-01-15,2946.74,credito
123,2024-01-02,4738.48,credito
124,2024/01/22,2764.44,debito
125,2024-01-23,1165.07,debito
126,2024/01/15,1330.13,credito
127,2024-01-26,2727.37,credito
128,2024-01-27,-2379.96,credito
129,2024-01-30,3446.5,credito
130,2024-01-18,-129.18,otro
131,2024/01/09,3374.75,debito
132,2024-01-01,1354.86,credito
133,2024-01-16,1398.0,credito
134,2024-01-27,-1050.4,debito
135,2024-01-28,2482.39,credito
136,2024-01-25,1579.44,debito
137,2024-01-28,3291.73,x
138,2024-01-07,2497.48,debito
139,2024-01-09,2196.2,debito
140,2024-01-21,800.31,debito
141,2024-01-03,576.17,credito
142,2024-01-05,2549.27,credito
143,2024-01-16,1924.09,credito
144,2024-01-29,-2320.3,credito
145,2024-01-26,1421.37,debito
146,2024-01-22,2697.52,credito
147,2024-01-18,4349.31,credito
148,2024-01-13,227.8,debito
149,2024-01-26,3964.04,credito
150,2024/01/31,2955.0,debito
151,2024/01/15,86.58,credito
152,2024/01/05,1332.46,credito
153,2024-01-03,4298.12,debito
154,2024-01-23,2709.67,debito
155,2024-01-22,3736.36,debito
156,2024-01-21,0,debito
157,2024/01/01,1473.91,debito
158,2024-01-17,908.48,debito
159,2024-01-13,4565.02,credito
160,2024-01-09,4495.55,debito
161,2024-01-18,1734.37,debito
162,2024-01-14,1517.59,credito
163,2024-01-04,2878.31,credito
164,2024-01-27,2833.99,debito
165,2024-01-02,4165.87,credito
166,2024-01-08,3186.72,credito
167,2024-01-24,692.53,credito
168,2024-01-02,2902.07,credito
169,2024-01-10,1011.97,debito
170,2024-01-12,4154.06,credito
171,2024-01-16,4353.28,credito
172,2024-01-03,4302.1,debito
173,2024/01/12,1329.65,otro
174,2024-01-24,4113.86,debito
175,2024-01-08,4716.41,debito
176,2024/01/21,4547.84,credito
177,2024/01/05,-2987.82,debito
178,2024-01-18,3355.73,debito
179,2024-01-19,2080.27,x
180,2024-01-14,3454.5,credito
181,2024-01-08,-2060.18,debito
182,2024-01-02,619.58,x
183,2024-01-22,4855.76,debito
184,2024-01-05,4150.79,debito
185,2024-01-27,746.3,credito
186,2024-01-28,2705.68,debito
187,2024/01/28,,debito
188,2024/01/11,642.53,debito
189,2024-01-03,2571.06,debito
190,2024-01-31,4544.67,credito
191,2024-01-21,-1442.16,debito
192,2024-01-16,4497.34,credito
193,2024-01-05,2746.3,debito
194,2024-01-10,504.9,otro
195,2024-01-21,4328.81,credito
196,2024-01-14,2085.79,credito
197,2024-01-22,3437.24,debito
198,2024/01/03,-2219.0,debito
199,2024-01-19,3353.37,credito
200,2024-01-31,3608.09,credito
201,2024-01-12,782.1,credito
202,2024-01-12,3815.4,credito
203,2024-01-28,3112.4,credito
204,2024-01-20,1344.56,credito
205,2024-01-10,915.21,credito
206,2024-01-03,162.98,credito
207,2024-01-14,1565.07,debito
208,2024-01-03,3774.64,otro
209,2024-01-15,2215.8,debito
210,2024-01-04,0,credito
211,2024-01-17,-1191.84,credito
212,2024-01-10,3823.16,debito
213,2024-01-16,1907.24,debito
214,2024-01-27,1991.39,credito
215,2024-01-15,2883.04,debito
216,2024-01-14,4831.34,credito
217,2024-01-27,2189.19,x
218,2024-01-13,1558.27,debito
219,2024/01/06,2657.72,debito
220,2024-01-12,4077.03,credito
221,2024-01-07,3798.17,debito
222,2024-01-16,2901.55,otro
223,2024-01-21,4322.59,credito
224,2024-01-03,3983.69,debito
225,2024-01-03,293.88,debito
226,2024-01-28,-1786.3,debito
227,2024-01-31,2254.17,credito
228,2024-01-11,4789.03,credito
229,2024-01-27,2527.7,credito
230,2024-01-15,3052.93,debito
231,2024-01-13,2993.45,credito
232,2024-01-03,1938.96,credito
233,2024-01-31,1673.48,credito
234,2024-01-12,3314.05,debito
235,2024-01-03,3960.39,credito
236,2024-01-27,4563.12,credito
237,2024-01-17,909.51,credito
238,2024-01-07,395.05,x
239,2024-01-25,2637.39,debito
240,2024-01-20,819.61,credito
241,2024-01-26,228.03,credito
242,2024-01-15,3921.16,credito
243,2024-01-31,4177.22,debito
244,2024-01-15,2519.5,x
245,2024-01-07,1257.52,debito
246,2024-01-18,2584.39,credito
247,2024-01-06,745.27,debito
248,2024-01-27,143.08,invalido
249,2024-01-08,-681.37,credito
250,2024-01-23,696.62,debito
251,2024-01-23,2350.86,credito
252,2024-01-01,2748.53,credito
253,2024-01-04,618.02,credito
254,2024-01-20,0,credito
255,2024-01-01,3595.54,credito
256,2024-01-12,3325.21,debito
257,2024-01-31,4941.77,invalido
258,2024/01/16,1872.78,debito
259,2024-01-03,3145.0,debito
260,2024-01-11,1699.35,credito
261,2024-01-22,3162.36,credito
262,2024-01-25,-612.76,debito
263,2024-01-11,4945.72,credito
264,2024-01-25,4312.07,debito
265,2024-01-09,4448.54,credito
266,2024-01-13,3463.42,credito
267,2024-01-09,403.85,credito
268,2024-01-18,0,credito
269,2024-01-15,3451.93,debito
270,2024-01-28,2180.35,debito
271,2024/01/02,1822.92,credito
272,2024/01/31,3393.66,credito
273,2024-01-08,1920.44,debito
274,2024-01-22,2225.26,credito
275,2024-01-12,1255.56,debito
276,2024-01-16,597.63,credito
277,2024-01-07,4583.23,credito
278,2024/01/28,3569.72,debito
279,2024-01-31,1743.65,credito
280,2024-01-29,3550.72,credito
281,2024-01-12,1012.89,debito
282,2024-01-01,2342.36,credito
283,2024/01/29,4997.98,debito
284,2024-01-25,635.38,credito
285,2024-01-15,4391.02,debito
286,2024-01-06,2519.29,credito
287,2024-01-17,1620.08,credito
288,2024-01-31,403.51,debito
289,2024-01-05,476.21,x
290,2024-01-19,3605.96,credito
291,2024/01/19,415.3,credito
292,2024-01-09,2088.77,credito
293,2024-01-21,1517.45,credito
294,2024-01-13,-189.14,credito
295,2024-01-07,4308.81,credito
296,2024-01-13,2812.64,x
297,2024-01-09,262.52,debito
298,2024-01-14,806.9,credito
299,2024-01-11,4979.89,credito
300,2024/01/16,2532.17,credito
301,2024/01/12,2991.62,debito
302,2024-01-10,2160.33,credito
303,2024-01-25,-162.96,credito
304,2024/01/10,3824.38,debito
305,2024-01-20,1975.58,otro
