id,fecha,monto,tipo
1,2024-06-30,3000,credito
2,03-04-2024,1200,credito
3,2024-04-09,800,invalid
5,17-06-2024,800,debito
6,11/11/2024,1500,credito
8,30-07-2024,3000,debito
9,07-04-2024,3000,invalid
10,2024/10/15,1500,invalid
11,2024/10/05,1200,debito
12,20/07/2024,1200,debito
13,2024-04-13,3000,credito
14,17/07/2024,500,debito
16,2024-04-27,1000,invalid
17,18/12/2024,-200,invalid
18,2024-11-30,-100,credito
19,16/08/2024,800,credito
20,2024-07-28,3000,debito
21,12-06-2024,700,credito
22,2024/06/05,1000,invalid
24,18/02/2024,0,credito
26,19/05/2024,1200,debito
27,2024-12-11,1200,credito
30,09/02/2024,-200,invalid
31,2024/04/11,800,invalid
32,2024/01/01,1500,invalid
33,30/12/2024,1500,credito
34,13-11-2024,-200,credito
35,2024/12/12,-100,credito
36,25-07-2024,1500,credito
37,2024-08-20,800,credito
38,2024/02/15,1500,debito
39,18/11/2024,1200,invalid
41,01/08/2024,800,credito
42,29/07/2024,500,credito
43,2024-12-06,-100,invalid
44,2024/07/11,1000,credito
46,2024/06/29,1200,debito
47,30-11-2024,1200,invalid
48,2024-08-09,1500,credito
49,2024/10/26,3000,debito
51,02/07/2024,-200,credito
52,16/03/2024,1000,invalid
54,21-02-2024,800,desconocido
55,27-01-2024,3000,credito
56,06-09-2024,1000,debito
57,27/07/2024,-200,invalid
58,2024/02/27,1000,credito
59,08/02/2024,800,credito
60,2024-04-04,-200,invalid
61,2024-01-09,3000,debito
62,2024-06-09,1000,credito
63,2024-08-14,700,credito
64,13-03-2024,1000,credito
66,2024-05-28,1500,invalid
67,10-11-2024,800,credito
68,2024-01-11,3000,desconocido
69,29/09/2024,1500,invalid
71,2024/07/31,700,debito
72,2024-03-01,-200,invalid
73,29-07-2024,1000,credito
74,30/07/2024,1000,invalid
75,28-01-2024,1500,debito
76,16/11/2024,-200,credito
78,2024/11/25,-200,credito
80,16-04-2024,1200,invalid
82,13/09/2024,700,credito
83,10-05-2024,800,credito
84,2024-09-17,3000,debito
85,2024/03/16,1000,debito
86,2024-11-04,1500,invalid
87,2024/10/22,1200,invalid
88,2024/04/24,3000,credito
89,27/07/2024,800,debito
90,28/07/2024,700,invalid
91,01-01-2024,800,credito
92,27/01/2024,1200,debito
93,07-11-2024,3000,debito
94,01-08-2024,-200,credito
95,22/12/2024,1000,credito
96,2024/12/18,800,credito
97,17/08/2024,500,debito
98,2024-07-05,1200,invalid
99,2024/03/09,-200,credito
101,12-05-2024,800,debito
102,13-11-2024,-200,debito
103,2024/04/02,1500,credito
104,2024-04-16,1000,credito
105,2024-12-13,3000,invalid
106,2024/01/21,1000,credito
107,16/01/2024,700,invalid
108,2024/02/28,-200,invalid
109,2024-09-15,1200,invalid
110,05/07/2024,800,debito
